#SampleID	Dataset	FullName	Acronyme	Season	Site	Condition	Replicat
FEB-TOB-WAT-1		FEB-TOB-WAT-1	FEB-TOB-WAT-1	FEB	TOB	WAT	1
FEB-TOB-WAT-2		FEB-TOB-WAT-2	FEB-TOB-WAT-2	FEB	TOB	WAT	2
FEB-TOB-WAT-3		FEB-TOB-WAT-3	FEB-TOB-WAT-3	FEB	TOB	WAT	3
JUN-COP-SED-1		JUN-COP-SED-1	JUN-COP-SED-1	JUN	COP	SED	1
JUN-COP-SED-2		JUN-COP-SED-2	JUN-COP-SED-2	JUN	COP	SED	2
JUN-COP-SED-3		JUN-COP-SED-3	JUN-COP-SED-3	JUN	COP	SED	3
JUN-COP-WAT-1		JUN-COP-WAT-1	JUN-COP-WAT-1	JUN	COP	WAT	1
JUN-COP-WAT-2		JUN-COP-WAT-2	JUN-COP-WAT-2	JUN	COP	WAT	2
JUN-COP-WAT-3		JUN-COP-WAT-3	JUN-COP-WAT-3	JUN	COP	WAT	3
JUN-LIV-SED-1		JUN-LIV-SED-1	JUN-LIV-SED-1	JUN	LIV	SED	1
JUN-LIV-SED-2		JUN-LIV-SED-2	JUN-LIV-SED-2	JUN	LIV	SED	2
JUN-LIV-SED-3		JUN-LIV-SED-3	JUN-LIV-SED-3	JUN	LIV	SED	3
JUN-LIV-WAT-1		JUN-LIV-WAT-1	JUN-LIV-WAT-1	JUN	LIV	WAT	1
JUN-LIV-WAT-2		JUN-LIV-WAT-2	JUN-LIV-WAT-2	JUN	LIV	WAT	2
JUN-LIV-WAT-3		JUN-LIV-WAT-3	JUN-LIV-WAT-3	JUN	LIV	WAT	3
JUN-TOB-SED-1		JUN-TOB-SED-1	JUN-TOB-SED-1	JUN	TOB	SED	1
JUN-TOB-SED-2		JUN-TOB-SED-2	JUN-TOB-SED-2	JUN	TOB	SED	2
JUN-TOB-SED-3		JUN-TOB-SED-3	JUN-TOB-SED-3	JUN	TOB	SED	3
JUN-TOB-WAT-1		JUN-TOB-WAT-1	JUN-TOB-WAT-1	JUN	TOB	WAT	1
JUN-TOB-WAT-2		JUN-TOB-WAT-2	JUN-TOB-WAT-2	JUN	TOB	WAT	2
JUN-TOB-WAT-3		JUN-TOB-WAT-3	JUN-TOB-WAT-3	JUN	TOB	WAT	3
OCT-COP-SED-1		OCT-COP-SED-1	OCT-COP-SED-1	OCT	COP	SED	1
OCT-COP-SED-2		OCT-COP-SED-2	OCT-COP-SED-2	OCT	COP	SED	2
OCT-COP-SED-3		OCT-COP-SED-3	OCT-COP-SED-3	OCT	COP	SED	3
OCT-COP-WAT-1		OCT-COP-WAT-1	OCT-COP-WAT-1	OCT	COP	WAT	1
OCT-COP-WAT-2		OCT-COP-WAT-2	OCT-COP-WAT-2	OCT	COP	WAT	2
OCT-COP-WAT-3		OCT-COP-WAT-3	OCT-COP-WAT-3	OCT	COP	WAT	3
OCT-LIV-SED-1		OCT-LIV-SED-1	OCT-LIV-SED-1	OCT	LIV	SED	1
OCT-LIV-SED-2		OCT-LIV-SED-2	OCT-LIV-SED-2	OCT	LIV	SED	2
OCT-LIV-SED-3		OCT-LIV-SED-3	OCT-LIV-SED-3	OCT	LIV	SED	3
OCT-LIV-WAT-1		OCT-LIV-WAT-1	OCT-LIV-WAT-1	OCT	LIV	WAT	1
OCT-LIV-WAT-2		OCT-LIV-WAT-2	OCT-LIV-WAT-2	OCT	LIV	WAT	2
OCT-LIV-WAT-3		OCT-LIV-WAT-3	OCT-LIV-WAT-3	OCT	LIV	WAT	3
OCT-TOB-SED-1		OCT-TOB-SED-1	OCT-TOB-SED-1	OCT	TOB	SED	1
OCT-TOB-SED-2		OCT-TOB-SED-2	OCT-TOB-SED-2	OCT	TOB	SED	2
OCT-TOB-SED-3		OCT-TOB-SED-3	OCT-TOB-SED-3	OCT	TOB	SED	3
OCT-TOB-WAT-1		OCT-TOB-WAT-1	OCT-TOB-WAT-1	OCT	TOB	WAT	1
OCT-TOB-WAT-2		OCT-TOB-WAT-2	OCT-TOB-WAT-2	OCT	TOB	WAT	2
OCT-TOB-WAT-3		OCT-TOB-WAT-3	OCT-TOB-WAT-3	OCT	TOB	WAT	3
